filename,n_v,n_f,energy,cog,bent_min,bent_max,edge_min,edge_max,aspect_ratio_min,aspect_ratio_max,faces_min,faces_max,angle_min,angle_max,angle_aspect_min,angle_aspect_max,solid_angle_min,solid_angle_max
02-00-flat-n-0-0-icosahedron.off,42,80,732.256241029,5.44948428396e-18,0.0,0.0,0.546533057825,0.61803398875,1.0,1.13082636064,0.139300145008,0.165396134562,0.553574358897,0.628318530718,1.0,1.13502101501,0.149488343642,0.179853499792
02-00-flat-n-0-0-octahedron.off,18,32,120.643749518,0.0,0.0,0.0,0.76536686473,1.0,1.0,1.30656296488,0.289735412759,0.433012701893,0.785398163397,1.0471975512,1.0,1.33333333333,0.339836909454,0.551285598433
02-00-flat-n-0-0-tetrahedron.off,10,16,33.467677475,1.11022302463e-17,0.0,0.0,0.919401686762,1.41421356237,1.0,1.53818900132,0.415511408761,0.866025403784,0.955316618125,1.57079632679,1.0,1.64426777154,0.523598775598,1.57079632679
02-00-gc-n-0-0-cube.off,26,24,266.149837994,3.01940857439e-17,0.0217573623163,0.0217573623163,0.605810893056,0.76536686473,1.26337587109,1.26337587109,0.460541961478,0.460766724326,0.61547970867,0.785398163397,1.27607482803,1.27607482803,0.523598775598,0.523598775598
02-00-gc-n-0-0-icosahedron.off,42,80,732.256241029,5.44948428396e-18,0.0,0.0,0.546533057825,0.61803398875,1.0,1.13082636064,0.139300145008,0.165396134562,0.553574358897,0.628318530718,1.0,1.13502101501,0.149488343642,0.179853499792
02-00-gc-n-0-0-octahedron.off,18,32,120.643749518,0.0,0.0,0.0,0.76536686473,1.0,1.0,1.30656296488,0.289735412759,0.433012701893,0.785398163397,1.0471975512,1.0,1.33333333333,0.339836909454,0.551285598433
02-00-gc-n-0-0-tetrahedron.off,10,16,33.467677475,1.11022302463e-17,0.0,0.0,0.919401686762,1.41421356237,1.0,1.53818900132,0.415511408761,0.866025403784,0.955316618125,1.57079632679,1.0,1.64426777154,0.523598775598,1.57079632679
02-00-gc-t-0-0-cube.off,26,24,266.149837994,3.01940857439e-17,0.0217573623163,0.0217573623163,0.605810893056,0.76536686473,1.26337587109,1.26337587109,0.460541961478,0.460766724326,0.61547970867,0.785398163397,1.27607482803,1.27607482803,0.523598775598,0.523598775598
02-00-gc-t-0-0-icosahedron.off,42,80,732.256241029,5.44948428396e-18,0.0,0.0,0.546533057825,0.61803398875,1.0,1.13082636064,0.139300145008,0.165396134562,0.553574358897,0.628318530718,1.0,1.13502101501,0.149488343642,0.179853499792
02-00-gc-t-0-0-octahedron.off,18,32,120.643749518,0.0,0.0,0.0,0.76536686473,1.0,1.0,1.30656296488,0.289735412759,0.433012701893,0.785398163397,1.0471975512,1.0,1.33333333333,0.339836909454,0.551285598433
02-00-gc-t-0-0-tetrahedron.off,10,16,33.467677475,1.11022302463e-17,0.0,0.0,0.919401686762,1.41421356237,1.0,1.53818900132,0.415511408761,0.866025403784,0.955316618125,1.57079632679,1.0,1.64426777154,0.523598775598,1.57079632679
02-00-nslerp-n-0-0-3dihedron.off,6,8,10.9641016151,0.0,0.0,0.0,1.0,1.73205080757,1.0,1.73205080757,0.433012701892,1.29903810568,1.0471975512,2.09439510239,1.0,2.0,0.0,0.0
02-00-nslerp-n-0-0-4dihedron.off,10,8,inf,0.0,0.0,0.0,0.76536686473,1.0,1.30656296488,1.30656296488,0.707106781187,0.707106781187,0.0,0.785398163397,inf,inf,nan,nan
02-00-nslerp-n-0-0-cube.off,26,24,266.149837994,3.01940857439e-17,0.0217573623163,0.0217573623163,0.605810893056,0.76536686473,1.26337587109,1.26337587109,0.460541961478,0.460766724326,0.61547970867,0.785398163397,1.27607482803,1.27607482803,0.523598775598,0.523598775598
02-00-nslerp-n-0-0-icosahedron.off,42,80,732.256241029,5.44948428396e-18,0.0,0.0,0.546533057825,0.61803398875,1.0,1.13082636064,0.139300145008,0.165396134562,0.553574358897,0.628318530718,1.0,1.13502101501,0.149488343642,0.179853499792
02-00-nslerp-n-0-0-octahedron.off,18,32,120.643749518,0.0,0.0,0.0,0.76536686473,1.0,1.0,1.30656296488,0.289735412759,0.433012701893,0.785398163397,1.0471975512,1.0,1.33333333333,0.339836909454,0.551285598433
02-00-nslerp-n-0-0-tetrahedron.off,10,16,33.467677475,1.11022302463e-17,0.0,0.0,0.919401686762,1.41421356237,1.0,1.53818900132,0.415511408761,0.866025403784,0.955316618125,1.57079632679,1.0,1.64426777154,0.523598775598,1.57079632679
02-00-nslerp-t-0-0-3dihedron.off,6,8,10.9641016151,0.0,0.0,0.0,1.0,1.73205080757,1.0,1.73205080757,0.433012701892,1.29903810568,1.0471975512,2.09439510239,1.0,2.0,0.0,0.0
02-00-nslerp-t-0-0-4dihedron.off,10,8,inf,0.0,0.0,0.0,0.76536686473,1.0,1.30656296488,1.30656296488,0.707106781187,0.707106781187,0.0,0.785398163397,inf,inf,nan,nan
02-00-nslerp-t-0-0-cube.off,26,24,266.149837994,3.01940857439e-17,0.0217573623163,0.0217573623163,0.605810893056,0.76536686473,1.26337587109,1.26337587109,0.460541961478,0.460766724326,0.61547970867,0.785398163397,1.27607482803,1.27607482803,0.523598775598,0.523598775598
02-00-nslerp-t-0-0-icosahedron.off,42,80,732.256241029,5.44948428396e-18,0.0,0.0,0.546533057825,0.61803398875,1.0,1.13082636064,0.139300145008,0.165396134562,0.553574358897,0.628318530718,1.0,1.13502101501,0.149488343642,0.179853499792
02-00-nslerp-t-0-0-octahedron.off,18,32,120.643749518,0.0,0.0,0.0,0.76536686473,1.0,1.0,1.30656296488,0.289735412759,0.433012701893,0.785398163397,1.0471975512,1.0,1.33333333333,0.339836909454,0.551285598433
02-00-nslerp-t-0-0-tetrahedron.off,10,16,33.467677475,1.11022302463e-17,0.0,0.0,0.919401686762,1.41421356237,1.0,1.53818900132,0.415511408761,0.866025403784,0.955316618125,1.57079632679,1.0,1.64426777154,0.523598775598,1.57079632679
02-00-nslerp2-n-0-0-4dihedron.off,10,8,inf,0.0,0.0,0.0,0.76536686473,1.0,1.30656296488,1.30656296488,0.707106781187,0.707106781187,0.0,0.785398163397,inf,inf,nan,nan
02-00-nslerp2-n-0-0-cube.off,26,24,266.149837994,3.01940857439e-17,0.0217573623163,0.0217573623163,0.605810893056,0.76536686473,1.26337587109,1.26337587109,0.460541961478,0.460766724326,0.61547970867,0.785398163397,1.27607482803,1.27607482803,0.523598775598,0.523598775598
02-00-nslerp2-t-0-0-4dihedron.off,10,8,inf,0.0,0.0,0.0,0.76536686473,1.0,1.30656296488,1.30656296488,0.707106781187,0.707106781187,0.0,0.785398163397,inf,inf,nan,nan
